Contexto,Arquivo,M̩dia,Exec #1,Exec #2,Exec #3,Exec #4,Exec #5,Exec #6,Exec #7,Exec #8,Exec #9,Exec #10,Exec #11,Exec #12,Exec #13,Exec #14,Exec #15,Exec #16,Exec #17,Exec #18,Exec #19,Exec #20,Exec #21,Exec #22,Exec #23,Exec #24,Exec #25,Exec #26,Exec #27,Exec #28,Exec #29,Exec #30,Exec #31,Exec #32,Exec #33,Exec #34,Exec #35,Exec #36,Exec #37,Exec #38,Exec #39,Exec #40,Exec #41,Exec #42,Exec #43,Exec #44,Exec #45,Exec #46,Exec #47,Exec #48,Exec #49,Exec #50
Basics,categories.sql,"0,00434","0,024","0,008","0,005","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,003","0,003","0,003","0,003","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,003","0,004","0,003","0,003","0,004","0,003"
Basics,employees.sql,"0,00636","0,018","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,007","0,01","0,006","0,006","0,006","0,006","0,006","0,006","0,007","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006"
Basics,locations.sql,"0,0034000000000000002","0,016","0,005","0,004","0,004","0,004","0,004","0,003","0,004","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003"
Basics,sold_items.sql,"0,873","1,105","0,782","0,753","0,809","1,163","0,943","0,834","0,745","0,813","0,795","0,848","0,851","0,835","0,743","0,811","0,799","0,739","0,739","0,808","0,841","0,934","0,792","0,887","0,816","0,79","0,818","0,722","0,74","0,746","0,791","0,757","0,767","0,856","0,883","0,879","0,854","0,818","0,887","0,864","1,203","1,506","1,426","0,857","0,881","0,9","0,888","0,903","0,928","0,907","0,894"
Basics,count_categories.sql,"0,00772","0,019","0,01","0,008","0,008","0,008","0,008","0,007","0,008","0,011","0,011","0,009","0,009","0,008","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,01","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007","0,007"
Basics,products.sql,"0,02254","0,035","0,021","0,021","0,02","0,021","0,02","0,02","0,02","0,02","0,021","0,02","0,021","0,021","0,02","0,02","0,02","0,02","0,021","0,021","0,02","0,02","0,02","0,02","0,02","0,021","0,02","0,021","0,022","0,02","0,02","0,02","0,02","0,02","0,02","0,02","0,021","0,027","0,029","0,037","0,024","0,025","0,023","0,023","0,023","0,03","0,033","0,028","0,023","0,022","0,032"
Basics,count_products.sql,"0,02486","0,027","0,024","0,024","0,022","0,024","0,024","0,024","0,022","0,024","0,021","0,026","0,023","0,023","0,023","0,026","0,024","0,024","0,024","0,022","0,024","0,022","0,025","0,021","0,021","0,021","0,021","0,021","0,023","0,022","0,021","0,023","0,023","0,023","0,023","0,021","0,024","0,021","0,023","0,021","0,027","0,044","0,038","0,036","0,035","0,031","0,025","0,025","0,025","0,025","0,037"
Basics,suppliers.sql,"0,00422","0,031","0,015","0,007","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,004","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,003","0,004","0,004"
Basics,purchase_orders.sql,"0,01658","0,034","0,016","0,015","0,014","0,014","0,014","0,014","0,014","0,014","0,018","0,015","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,015","0,014","0,014","0,014","0,02","0,029","0,032","0,014","0,014","0,016","0,016","0,016","0,016","0,026","0,024","0,016","0,019","0,017","0,017","0,017","0,017","0,017","0,017","0,017","0,017"
Basics,count_purchase_orders.sql,"0,02136","0,021","0,017","0,023","0,023","0,016","0,016","0,016","0,019","0,021","0,024","0,02","0,044","0,025","0,017","0,017","0,016","0,016","0,036","0,031","0,026","0,026","0,035","0,024","0,019","0,019","0,018","0,018","0,018","0,018","0,019","0,021","0,023","0,025","0,021","0,018","0,02","0,017","0,025","0,023","0,021","0,018","0,023","0,02","0,02","0,02","0,021","0,02","0,018","0,018","0,018"
Basics,items.sql,"1,02912","0,884","1,028","0,85","0,838","0,835","0,845","0,855","0,9","0,892","0,893","0,911","0,941","1,479","1,31","0,999","0,974","0,945","0,925","0,91","0,92","1,031","1,07","0,911","0,913","0,909","0,967","0,981","1,107","0,995","1,01","1,127","1,143","1,118","1,143","1,097","1,013","1,274","1,176","1,176","1,088","1,122","1,206","1,21","1,084","1,047","1,057","1,072","1,073","1,07","1,132"
Basics,count_items.sql,"0,9931","1,158","1,088","0,97","1,043","0,979","0,962","1,0","1,001","1,026","0,966","0,966","0,969","0,977","0,957","0,948","0,95","0,944","0,927","0,967","0,966","0,959","0,966","0,931","0,954","0,952","0,954","0,947","0,948","1,013","0,948","0,944","0,954","0,95","0,944","0,954","0,973","0,96","0,955","0,941","0,932","1,086","1,06","1,098","1,099","1,103","1,084","1,109","1,094","1,104","0,975"
Basics,places.sql,"0,0065","0,014","0,006","0,005","0,005","0,005","0,005","0,005","0,005","0,005","0,005","0,007","0,008","0,007","0,012","0,008","0,008","0,008","0,006","0,006","0,007","0,006","0,005","0,007","0,005","0,005","0,005","0,005","0,005","0,005","0,005","0,007","0,008","0,009","0,009","0,009","0,01","0,007","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,005","0,006","0,006","0,006","0,005"
Basics,count_places.sql,"0,0077","0,013","0,009","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,01","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,008","0,007","0,007","0,007","0,007","0,007","0,008","0,007","0,007","0,006","0,006","0,006","0,006","0,006","0,006","0,006","0,006"
Basics,configuration_place.sql,"0,037040000000000003","0,064","0,04","0,035","0,035","0,034","0,035","0,033","0,034","0,033","0,041","0,034","0,037","0,035","0,035","0,034","0,035","0,034","0,035","0,037","0,042","0,036","0,05","0,035","0,034","0,033","0,034","0,032","0,033","0,034","0,033","0,033","0,033","0,032","0,032","0,033","0,032","0,032","0,033","0,033","0,032","0,033","0,033","0,033","0,033","0,032","0,078","0,047","0,049","0,048","0,045"
Basics,count_products_configuration.sql,"0,01224","0,046","0,013","0,015","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,011","0,01","0,01","0,011","0,01","0,01","0,01","0,01","0,01","0,011","0,01","0,01","0,01","0,017","0,013","0,011","0,011","0,011","0,011","0,011","0,011","0,01","0,011","0,031","0,015"
Basics,count_transactions.sql,"1,68664","1,582","1,716","1,76","1,392","1,386","1,276","1,298","1,3","1,441","1,797","2,004","2,072","1,656","1,533","1,589","1,571","1,65","1,694","1,671","2,196","1,905","1,799","1,679","1,674","1,679","1,682","1,75","1,829","2,149","1,767","1,586","1,594","1,566","1,631","1,638","1,636","1,744","2,174","1,708","1,619","1,594","1,626","1,623","1,611","1,665","1,801","2,131","1,711","1,618","1,559"
Basics,order_items.sql,"0,51624","0,542","0,729","0,503","0,552","0,644","0,52","0,485","0,475","0,479","0,496","0,505","0,48","0,475","0,709","0,655","0,522","0,519","0,493","0,48","0,506","0,488","0,499","0,483","0,497","0,509","0,5","0,498","0,494","0,504","0,5","0,491","0,501","0,482","0,495","0,488","0,496","0,48","0,486","0,498","0,473","0,487","0,488","0,518","0,507","0,587","0,702","0,479","0,48","0,466","0,467"
Basics,expired_purchase_orders.sql,"0,020560000000000002","0,02","0,018","0,018","0,017","0,018","0,018","0,022","0,032","0,019","0,018","0,017","0,017","0,017","0,017","0,017","0,017","0,017","0,017","0,017","0,025","0,029","0,031","0,03","0,029","0,029","0,032","0,036","0,032","0,03","0,026","0,027","0,019","0,017","0,017","0,017","0,017","0,017","0,017","0,016","0,016","0,016","0,017","0,017","0,017","0,017","0,016","0,017","0,017","0,016","0,016"
Basics,category_products.sql,"0,01388","0,017","0,015","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,014","0,013","0,013","0,013","0,014","0,014","0,019","0,015","0,014","0,013","0,013","0,013","0,013","0,013","0,013","0,013","0,013","0,013","0,013","0,013","0,013","0,014","0,014","0,013"
Intermediaries,products.sql,"0,0782","0,094","0,08","0,075","0,073","0,074","0,08","0,081","0,074","0,077","0,074","0,079","0,079","0,079","0,079","0,085","0,08","0,082","0,099","0,102","0,11","0,1","0,1","0,083","0,073","0,071","0,071","0,071","0,079","0,072","0,075","0,077","0,077","0,078","0,074","0,075","0,075","0,079","0,077","0,08","0,074","0,07","0,069","0,069","0,067","0,073","0,068","0,069","0,074","0,067","0,067"
Intermediaries,products_in_place.sql,"28,48636","25,331","33,305","46,481","47,112","28,206","29,803","24,539","27,139","24,076","27,964","28,879","29,484","26,693","27,62","28,371","26,666","28,862","29,064","27,084","26,243","26,676","27,173","26,567","27,496","27,323","26,307","25,194","24,247","27,375","28,329","26,864","28,72","29,056","23,737","28,628","27,272","39,773","31,598","28,172","27,83","27,246","27,677","27,531","26,897","27,351","27,205","27,113","28,082","26,741","27,216"
Intermediaries,supplier_by_state.sql,"0,01372","0,026","0,015","0,014","0,014","0,013","0,013","0,013","0,013","0,013","0,013","0,013","0,013","0,013","0,013","0,013","0,013","0,017","0,014","0,014","0,021","0,02","0,013","0,013","0,014","0,013","0,013","0,013","0,013","0,013","0,013","0,013","0,013","0,012","0,012","0,013","0,012","0,013","0,012","0,012","0,012","0,012","0,012","0,012","0,012","0,013","0,012","0,013","0,012","0,021","0,014"
Intermediaries,transactions.sql,"46,37152","41,523","42,549","46,075","46,252","44,893","46,85","44,434","44,714","45,316","44,678","44,94","44,337","54,727","58,666","49,762","47,604","46,792","47,55","47,62","44,158","44,353","46,146","45,098","43,395","47,39","44,609","43,582","44,915","41,967","45,46","44,039","45,084","44,783","48,864","64,797","46,38","45,902","46,001","42,506","43,181","46,732","47,025","47,053","46,719","46,992","45,29","46,082","47,562","45,655","47,574"
Intermediaries,transaction_on_place.sql,"3,42592","4,051","3,426","3,29","3,778","3,064","3,012","3,046","3,291","3,39","3,26","3,346","3,463","3,917","3,485","3,495","3,604","3,927","3,566","3,495","3,463","3,81","3,52","3,752","3,535","3,777","3,883","3,364","2,999","2,967","3,902","2,925","2,972","2,938","3,31","3,603","3,131","3,057","3,065","3,309","3,473","3,45","3,453","3,628","3,796","3,405","3,216","3,354","3,839","3,228","3,266"
Intermediaries,supplier_by_product.sql,"0,1628","0,202","0,164","0,165","0,158","0,155","0,171","0,172","0,16","0,16","0,198","0,172","0,167","0,162","0,157","0,166","0,153","0,155","0,154","0,21","0,175","0,166","0,161","0,159","0,159","0,167","0,213","0,232","0,155","0,155","0,149","0,149","0,151","0,146","0,147","0,147","0,154","0,173","0,149","0,152","0,148","0,147","0,147","0,17","0,154","0,151","0,151","0,151","0,151","0,15","0,16"
Intermediaries,avg_products.sql,"0,13066","0,123","0,115","0,116","0,111","0,111","0,111","0,125","0,112","0,111","0,111","0,115","0,111","0,112","0,111","0,111","0,121","0,116","0,111","0,118","0,114","0,116","0,114","0,117","0,116","0,13","0,118","0,116","0,117","0,128","0,133","0,133","0,142","0,162","0,238","0,215","0,197","0,193","0,228","0,196","0,12","0,119","0,119","0,133","0,122","0,119","0,123","0,124","0,119","0,118","0,122"
Intermediaries,best_products.sql,"4,34558","4,114","4,79","5,671","5,705","7,105","5,19","5,129","4,379","5,021","6,303","4,492","4,147","5,056","4,041","4,098","4,269","4,695","4,385","4,907","4,767","4,209","3,838","3,667","3,656","3,43","3,564","3,569","3,828","3,795","3,866","4,031","4,023","4,056","4,064","4,006","4,297","4,152","4,007","4,021","4,055","4,051","3,988","4,194","4,007","4,035","3,981","4,128","4,206","4,067","4,224"
Intermediaries,categories.sql,"0,54252","0,718","0,608","0,603","0,607","0,61","0,598","0,577","0,593","0,609","0,571","0,55","0,545","0,532","0,527","0,53","0,535","0,514","0,522","0,547","0,507","0,532","0,52","0,601","0,532","0,51","0,518","0,568","0,51","0,506","0,498","0,513","0,512","0,508","0,51","0,5","0,495","0,505","0,512","0,528","0,539","0,515","0,52","0,521","0,522","0,525","0,544","0,531","0,545","0,542","0,541"
Intermediaries,best_places.sql,"0,4514","0,443","0,422","0,434","0,428","0,457","0,444","0,431","0,437","0,427","0,487","0,425","0,427","0,456","0,432","0,449","0,445","0,452","0,451","0,444","0,436","0,465","0,436","0,474","0,478","0,45","0,467","0,445","0,474","0,459","0,449","0,449","0,469","0,444","0,456","0,486","0,453","0,451","0,444","0,447","0,453","0,445","0,462","0,449","0,455","0,46","0,452","0,451","0,499","0,45","0,471"
Intermediaries,win_transactions.sql,"30,95046","29,482","29,841","30,181","31,437","30,514","30,18","32,147","26,859","29,293","30,006","29,898","30,56","29,801","30,688","30,298","30,85","30,562","30,835","30,291","30,704","29,852","31,326","34,892","43,603","35,547","30,881","31,015","31,424","30,767","30,152","30,502","30,792","30,041","30,244","30,396","31,166","30,533","30,469","30,451","29,933","29,904","30,289","30,986","31,685","30,359","32,766","31,618","30,269","31,294","29,94"
Intermediaries,never_sold.sql,"2,50236","2,539","2,186","2,174","2,21","2,225","2,276","2,772","2,268","2,236","2,229","2,226","2,226","2,659","2,463","2,298","2,262","2,207","2,231","2,387","2,753","2,244","2,227","2,215","2,228","2,238","2,797","2,242","2,212","2,213","2,253","2,681","2,624","2,394","2,459","2,46","2,94","2,16","2,495","2,666","2,129","2,103","2,135","2,181","3,481","3,497","3,06","3,821","3,318","4,022","2,796"
Intermediaries,expensive_products.sql,"0,27392","0,209","0,208","0,194","0,183","0,259","0,181","0,231","0,321","0,344","0,332","0,305","0,293","0,519","0,236","0,299","0,292","0,294","0,193","0,184","0,348","0,336","0,318","0,297","0,32","0,191","0,374","0,199","0,229","0,233","0,331","0,338","0,316","0,19","0,199","0,273","0,326","0,274","0,295","0,279","0,295","0,318","0,241","0,229","0,193","0,366","0,259","0,2","0,308","0,201","0,343"
Intermediaries,most_move.sql,"13,10552","16,707","16,126","14,266","12,31","11,689","12,69","12,945","12,62","11,629","13,283","13,473","13,666","13,039","13,131","12,695","12,802","12,968","13,272","12,834","13,136","12,871","12,962","12,928","13,507","12,68","13,68","13,026","12,9","12,881","12,906","12,732","13,037","12,857","12,781","12,717","13,123","12,819","13,297","12,627","12,434","12,582","12,899","12,882","13,209","12,908","12,915","12,855","15,58","12,468","12,932"
Intermediaries,employee_transactions.sql,"17,90388","16,428","15,531","16,073","14,95","16,146","17,092","17,552","17,876","17,815","17,643","17,774","17,831","17,887","18,571","20,257","24,284","22,524","19,629","18,329","18,093","18,248","18,318","18,579","17,555","17,895","18,007","18,136","18,311","18,192","18,125","18,062","18,06","18,062","18,045","18,196","18,253","18,384","18,911","14,96","15,988","16,925","16,679","15,716","16,059","18,582","17,675","17,606","17,799","17,763","19,818"
Advanceds,products.sql,"1,7557","1,81","1,813","2,243","1,898","1,813","1,801","1,847","1,834","1,876","1,967","1,819","1,792","1,846","1,839","1,834","1,829","2,024","2,319","1,763","1,751","1,664","1,845","1,612","1,469","1,598","1,536","1,477","1,456","1,504","1,499","1,569","1,503","1,476","1,487","1,807","1,573","1,542","1,599","1,751","1,758","1,748","1,797","1,82","1,903","1,86","1,847","1,834","1,852","1,839","1,842"
Advanceds,places.sql,"20,21146","20,811","19,341","21,32","19,792","19,561","19,384","19,441","19,326","19,711","20,336","19,585","24,011","27,109","22,665","20,365","19,763","19,784","19,618","20,067","19,588","19,895","19,695","19,547","19,473","19,78","19,707","19,483","19,476","19,399","20,353","20,811","20,251","20,14","20,714","20,196","19,537","19,606","20,961","20,154","20,184","21,749","20,121","19,945","19,952","19,826","19,575","19,574","19,554","20,008","19,329"
Advanceds,items.sql,"17,44234","17,547","16,779","16,564","16,591","17,237","16,566","16,527","16,342","16,425","16,572","21,426","23,142","21,41","19,088","18,706","17,266","17,161","15,762","14,529","15,916","16,389","16,075","15,083","16,246","17,056","16,887","17,026","16,73","16,824","16,67","16,741","23,187","23,399","21,293","18,528","16,992","16,735","16,712","16,556","16,612","16,702","16,381","16,39","16,325","16,481","16,246","19,834","16,95","16,623","16,888"
Advanceds,suppliers.sql,"49,42046","49,709","48,722","48,416","47,923","48,814","57,743","56,954","49,101","49,469","49,602","48,996","48,612","48,468","46,306","47,282","48,174","47,493","48,139","51,223","50,364","47,449","47,513","48,066","47,423","48,349","61,221","54,454","48,408","50,066","48,348","48,849","47,268","45,164","47,394","47,636","48,965","44,317","49,023","50,374","52,734","50,158","42,741","48,646","47,099","47,273","54,58","58,677","48,426","50,425","48,467"
Advanceds,transactions_products.sql,"41,38","43,719","40,71","42,345","42,005","38,095","38,247","38,631","39,23","39,647","39,64","39,499","39,815","36,683","40,084","40,752","41,061","40,468","40,379","47,726","50,666","42,666","42,084","41,652","41,131","43,144","41,093","42,103","40,588","41,442","34,867","38,244","39,484","40,033","41,162","41,881","40,712","40,003","40,601","41,13","40,624","39,811","39,808","56,965","46,302","42,212","42,66","40,663","41,925","42,464","42,144"
Advanceds,transactions_items.sql,"160,18462","148,76","154,061","159,163","156,76","180,732","156,391","158,146","150,262","157,635","155,599","178,812","162,829","158,619","154,927","149,453","146,924","174,125","177,117","162,39","156,939","157,37","158,477","180,081","154,988","161,594","159,178","147,522","152,955","167,153","163,025","160,381","155,927","157,659","144,611","156,087","175,103","156,43","161,546","156,092","158,734","156,78","179,369","158,149","157,579","158,567","157,907","158,349","182,855","158,058","157,061"
Advanceds,places_categories.sql,"14,06874","13,576","12,541","12,411","11,832","12,534","13,286","13,547","13,743","13,706","13,584","13,407","13,639","13,675","13,408","13,609","13,848","13,921","13,575","13,658","13,54","13,882","13,378","13,891","13,74","13,666","13,574","13,44","13,825","13,585","13,245","13,396","13,479","13,668","14,14","14,214","13,934","14,123","16,392","19,913","21,06","16,279","15,398","14,59","14,244","14,191","14,388","13,969","14,03","14,947","13,816"
Advanceds,union.sql,"19,98482","18,927","18,829","27,225","35,296","24,606","20,75","19,707","18,924","19,17","19,954","18,746","16,407","17,321","18,11","18,885","18,021","18,991","18,364","18,978","18,083","18,14","18,229","18,916","18,36","18,495","19,269","19,039","17,566","17,767","17,669","17,906","18,122","18,636","17,86","17,767","17,854","18,624","18,229","18,155","19,26","28,802","26,726","22,068","22,292","21,964","21,104","21,159","21,896","21,274","20,799"
Advanceds,transactions_most_items.sql,"131,46418","118,91","119,975","112,691","115,682","117,704","114,75","164,993","139,279","129,385","178,288","146,552","135,081","135,524","161,168","127,103","129,028","129,857","123,543","123,167","123,655","142,644","132,078","124,476","132,828","123,59","127,358","127,872","130,908","148,217","127,539","129,721","126,436","124,954","127,902","127,825","147,738","146,65","130,807","129,712","128,012","128,22","123,644","129,599","145,624","127,593","130,85","125,74","125,538","126,719","126,08"
Advanceds,missed_products.sql,"115,6694","131,714","115,154","109,519","113,669","108,881","110,218","109,062","107,749","108,176","130,628","115,032","111,832","113,575","170,556","124,537","108,965","108,347","154,281","112,434","109,375","108,997","111,367","108,256","109,793","108,412","108,623","133,628","112,735","109,863","110,465","110,491","108,969","110,44","112,686","119,375","131,386","113,934","113,78","114,063","113,656","108,535","110,669","110,329","129,147","117,354","111,971","112,688","112,863","113,638","111,653"
